,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,2.4361483e-05
8,2.435979e-05
9,2.4358143e-05
10,0.00031848383
11,0.0013474473
12,0.0013466185
13,0.00134578
14,0.0013447397
15,0.0013437964
16,0.0013428627
17,0.0016541563
18,0.0016528779
19,0.0016515787
20,0.0016500946
21,0.0016487428
22,0.0016472618
23,0.0016458997
24,0.0016822127
25,0.0016805049
26,0.0016788035
27,0.0016773184
28,0.0016759512
29,0.0016746173
30,0.0016730118
31,0.0017925925
32,0.0023693356
33,0.0024712102
34,0.0024676279
35,0.0024647044
36,0.006562563
37,0.006573192
38,0.006559755
39,0.0065453625
40,0.012620719
41,0.012604789
42,0.012563259
43,0.012635163
44,0.012594523
45,0.012549258
46,0.01250721
47,0.043390807
48,0.043112427
49,0.12331912
50,0.17496866
51,0.17264612
52,0.35109088
53,0.3709555
54,0.4418172
55,0.42978525
56,0.41851875
57,2.5945144
58,3.3543825
59,7.261773
60,5.4457493
61,4.3212404
62,3.5536623
63,3.0193095
64,2.6473162
65,2.2751157
66,2.3959517
67,2.0799525
68,2.2852418
69,1.978494
70,1.7341813
71,1.5281467
72,1.354127
73,1.2233201
74,1.1406263
75,1.0829005
76,0.9766838
77,1.5398438
78,1.4197798
79,1.6726018
80,1.5189536
81,1.3156159
82,1.1575066
83,1.035827
84,0.9181429
85,0.88925046
86,1.2483386
87,1.1380512
88,1.0239745
89,1.0079705
90,1.46022
91,1.2679601
92,1.0984788
93,0.9737013
94,0.87791646
95,0.96660364
96,3.1854994
97,3.7987952
98,3.020175
99,2.5321662
100,2.0947137
101,1.6857105
102,1.3509735
103,1.1489167
104,1.0422555
105,0.96908534
106,0.8847886
107,0.7413092
108,0.70312464
109,0.9865117
110,1.331475
111,1.2058854
112,1.1643244
113,2.2131257
114,2.613064
115,2.2167163
116,2.0046632
117,1.9036127
118,2.1704426
119,1.9372116
120,1.6215796
121,1.428763
122,2.544655
123,2.308576
124,2.087149
125,1.7062247
126,1.8637516
127,1.8747336
128,1.7135642
129,1.621233
130,1.4369712
131,2.2271533
132,3.4026515
133,2.4541664
134,1.8997519
135,1.4477663
136,1.2481363
137,1.0822178
138,2.8224409
139,3.5291493
140,2.7858777
141,3.1983507
142,2.8227537
143,2.354808
144,2.1162148
145,1.8339466
146,1.5373454
147,1.5842791
148,1.244468
149,1.3683617
150,1.2618475
151,0.95486546
152,0.7715138
153,0.6405867
154,0.5136279
155,0.40149167
156,0.35352325
157,0.36406246
158,0.29575896
159,0.23863383
160,0.32383424
161,0.25647768
162,0.20503479
163,0.17651989
164,0.23533036
165,0.31840262
166,0.25603363
167,0.21842606
168,0.19323017
169,0.20462817
170,0.17375675
171,0.13063934
172,0.4169398
173,0.32268608
174,0.27715364
175,0.24921754
176,0.24210733
177,0.21095496
178,0.46788964
179,0.52717483
180,0.577231
181,3.728035
182,2.8239408
183,1.9427016
184,1.6965059
185,1.4526787
186,1.3107303
187,1.1151397
188,0.7541866
189,0.49747363
190,0.41242468
191,0.36457506
192,0.53194904
193,0.5358433
194,0.6080486
195,0.44536376
196,0.31509444
197,0.237414
198,0.18106344
199,0.14316802
200,0.118308365
201,0.091727905
202,0.09402595
203,0.1037593
204,0.12914556
205,0.115185395
206,0.09067067
207,0.07793519
208,0.06789776
209,0.087795965
210,0.08801132
211,0.09867304
212,0.1282008
213,0.36694777
214,0.36122128
215,0.30685177
216,0.26434237
217,0.23144324
218,0.20928283
219,0.18531354
220,0.16752192
221,0.15616581
222,0.13341074
223,0.122473836
224,0.11005675
225,0.10256272
226,0.095174514
227,0.08935215
228,0.08462043
229,0.07913149
230,0.07402056
231,0.07054647
232,0.06356841
233,0.05724499
234,0.05308131
235,0.04806579
236,0.045333676
237,0.04383382
238,0.03938642
239,0.038080946
240,0.05757363
241,0.08709456
242,0.10631329
243,0.09448954
244,0.12099095
245,0.118362576
246,0.11642635
247,0.113590546
248,0.111620486
249,0.109965354
250,0.10859247
251,0.15072484
252,0.14977817
253,0.17665945
254,0.19237578
255,0.30572805
256,0.2794587
257,0.25133887
258,0.25356933
259,0.24810852
260,0.24282902
261,0.22805661
262,0.20721081
263,0.24267976
264,0.22129062
265,0.3252406
266,0.33849832
267,0.37752625
268,0.35537806
269,0.3402403
270,0.33039504
271,0.31749243
272,0.3052275
273,0.3603417
274,0.34648708
275,0.3685934
276,0.40363064
277,0.380628
278,0.37750462
279,0.3659243
280,0.36469334
281,0.34896874
282,0.34009793
283,0.38143256
284,0.36938924
285,0.5901757
286,0.5595103
287,0.50953794
288,0.66166013
289,1.2008506
290,1.1751542
291,1.052846
292,0.9682856
293,0.9157759
294,0.91498566
295,0.87875795
296,1.444679
297,3.307783
298,2.8108315
299,2.4316633
300,2.2494833
301,1.929054
302,1.7247877
303,2.315031
304,2.3172152
305,2.4266984
306,1.934013
307,1.6716849
308,1.4031616
309,1.156227
310,1.0033877
311,0.9731192
312,0.84671277
313,0.7834248
314,0.722011
315,0.66874146
316,0.7985453
317,0.7759406
318,0.70240545
319,0.76388067
320,0.69254184
321,0.595972
322,0.6109421
323,0.652184
324,0.60955596
325,0.52771324
326,0.47716588
327,0.4321768
328,0.41379142
329,0.3869006
330,0.36522213
331,0.3605698
332,0.34653473
333,0.439045
334,0.46942648
335,0.42861164
336,0.4038305
337,0.3860324
338,0.35894963
339,1.3695155
340,1.169497
341,1.0312904
342,0.93672776
343,0.9958123
344,0.87907815
345,0.8186871
346,0.7013998
347,0.70696187
348,0.8507681
349,0.727064
350,0.63637847
351,0.5929542
352,0.54418695
353,0.5913146
354,0.57047284
355,0.53707063
356,0.51840293
357,0.48011014
358,0.46523175
359,0.44107193
360,0.4119925
361,0.3930412
362,0.35011396
363,0.33814418
364,0.32653624
365,0.31424713
366,0.30234304
367,0.2896449
368,0.27809545
369,0.26966706
370,0.25097314
371,0.2382911
372,0.22407791
373,0.21893604
374,0.2124429
375,0.2536434
376,0.39499795
377,0.37974435
378,0.36524457
379,0.3400785
380,0.32249343
381,0.3070786
382,0.31090927
383,0.29844862
384,0.28563535
385,0.2686667
386,0.25690413
387,0.24255124
388,0.23252489
389,0.21791397
390,0.20373222
391,0.19109547
392,0.1833591
393,0.17864725
394,0.17440163
395,0.166169
396,0.16120042
397,0.18161184
398,0.18077125
399,0.1721936
400,0.16538738
401,0.27865052
402,0.26983026
403,0.25843206
404,0.24545707
405,0.37385103
406,0.3572707
407,0.3344534
408,0.3147598
409,0.29754624
410,0.28466243
411,0.2681583
412,0.73349166
413,0.669478
414,2.1865919
415,3.0822678
416,2.406079
417,5.9979496
418,4.880747
419,4.9753156
420,3.453294
421,2.5782044
422,16.170477
423,16.262371
424,24.378609
425,19.433266
426,13.887274
427,9.782235
428,6.955684
429,5.0278625
430,3.6221852
431,3.9208362
